Endpoint,Method,Response Time,Payload Size,Query Count,Cached,Unnecessary Fields,Status
/api/v1/categories,N/A,N/A,N/A,N/A,N/A,Not tested (requires auth token format)
/api/v1/categories/tree,N/A,N/A,N/A,N/A,N/A,"Code audit: cached 30min under categories:tree, TTL=1800s"
/api/v1/products,N/A,N/A,N/A,N/A,N/A,Not tested
/api/v1/products/{slug},N/A,N/A,N/A,N/A,N/A,Not tested
/api/v1/search,N/A,N/A,N/A,N/A,N/A,Not tested (search returns 404 on web frontend)
/api/v1/brands,N/A,N/A,N/A,N/A,N/A,"Code audit: BrandVisibilityService caches per version+identity, TTL=600s"
/api/v1/auth/login,POST,N/A,N/A,N/A,N/A,"Code audit: no cache headers set"
/api/v1/auth/register,POST,N/A,N/A,N/A,N/A,"Code audit: no cache headers set"
/api/v1/auth/me,GET,N/A,N/A,N/A,N/A,"Code audit: requires bearer token, should not be cached"
/api/v1/seller/products,GET,N/A,N/A,N/A,N/A,"Code audit: requires seller.access permission"
/api/v1/admin/marketplaces,GET,N/A,N/A,N/A,N/A,"Code audit: requires admin.token, cached 3600s"
/api/v1/marketplaces,N/A,N/A,N/A,N/A,"Code audit: cached via GlobalMarketplaceContextService, TTL=3600s"

# Note: API endpoints were not tested directly during this audit.
# HTTP checks focused on web (Blade) routes.
# API cache findings are from code audit only.
# Full API performance audit requires bearer/admin token access.
